
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
     14     3.07      12.89       0.00    4904   0 svchost
     10     1.94       8.78       0.00    4952   0 svchost
     20    10.92      28.28       0.00    4984   0 svchost
     10     3.75       9.18       0.00    5260   0 svchost
      7     1.24       5.80       0.00    5324   0 svchost
     14     5.79       9.80       0.00    5680   0 svchost
      9     5.44       7.39       0.00    5828   0 svchost
      8     1.37       6.09       0.00    7504   0 svchost
      7     1.36       5.78       0.00    7512   0 svchost
      8     1.50      10.63       0.00    7800   0 svchost
      0     0.18       0.11       0.00       4   0 System
     22     4.36      13.08       0.12    4596   2 taskhostw
     28    20.68      41.72      51.89    4496   2 Taskmgr
     15     2.31      10.06       0.00    3552   0 vds
     10     1.76       9.54       0.00    1708   0 VSSVC
     11     1.47       6.90       0.00     524   0 wininit
     11     2.41      10.52       0.00     564   1 winlogon
     11     2.62       9.81       0.00    2796   2 winlogon
      8     2.11       6.55       0.05    1640   2 winpty-agent
      8     2.10       6.55       0.16    2360   2 winpty-agent
      8     2.21       6.78       6.50    3212   2 winpty-agent
      4     0.71       3.14       0.00    2296   0 wlms
     11     2.64       8.96       0.00    1680   0 WmiPrvSE
     17    10.43      20.45       0.00    7000   0 WmiPrvSE
     12     4.39      11.12       0.00    7948   0 WmiPrvSE

